@relation 'snake_game-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R8,19-weka.filters.unsupervised.attribute.NumericToNominal-R17'

@attribute snake_pos_x numeric
@attribute snake_pos_y numeric
@attribute snake_body_length numeric
@attribute food_pos_x numeric
@attribute food_pos_y numeric
@attribute horizontal_distance numeric
@attribute vertical_distance numeric
@attribute body_parts numeric
@attribute left_safe {True,False}
@attribute right_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute left_distance numeric
@attribute right_distance numeric
@attribute up_distance numeric
@attribute down_distance numeric
@attribute New_direction {0,1,2,3}

@data
70,120,43,70,160,0,40,43,False,True,False,True,10,480,10,50,3
70,130,43,70,160,0,30,43,False,True,False,True,10,480,10,40,3
70,140,43,70,160,0,20,43,False,True,False,True,10,480,10,30,3
70,150,43,70,160,0,10,43,False,True,False,True,10,30,10,20,3
70,160,44,40,460,-30,300,44,False,True,False,False,10,30,10,10,3
70,170,44,40,460,-30,290,44,False,False,False,True,10,10,10,480,3
100,50,3,180,460,80,410,3,False,True,True,True,10,480,480,480,1
110,50,3,180,460,70,410,3,False,True,True,True,10,480,480,480,1
120,50,3,180,460,60,410,3,False,True,True,True,10,480,480,480,1
130,50,3,180,460,50,410,3,False,True,True,True,10,480,480,480,1
140,50,3,180,460,40,410,3,False,True,True,True,10,480,480,480,1
150,50,3,180,460,30,410,3,False,True,True,True,10,480,480,480,1
160,50,3,180,460,20,410,3,False,True,True,True,10,480,480,480,1
170,50,3,180,460,10,410,3,False,True,False,True,10,480,480,480,3
170,60,3,180,460,10,400,3,True,True,False,True,480,480,10,480,3
170,70,3,180,460,10,390,3,True,True,False,True,480,480,10,480,3
170,80,3,180,460,10,380,3,True,True,False,True,480,480,10,480,3
170,90,3,180,460,10,370,3,True,True,False,True,480,480,10,480,3
170,100,3,180,460,10,360,3,True,True,False,True,480,480,10,480,3
170,110,3,180,460,10,350,3,True,True,False,True,480,480,10,480,3
170,120,3,180,460,10,340,3,True,True,False,True,480,480,10,480,3
170,130,3,180,460,10,330,3,True,True,False,True,480,480,10,480,3
170,140,3,180,460,10,320,3,True,True,False,True,480,480,10,480,3
170,150,3,180,460,10,310,3,True,True,False,True,480,480,10,480,3
170,160,3,180,460,10,300,3,True,True,False,True,480,480,10,480,3
170,170,3,180,460,10,290,3,False,True,False,True,480,480,10,480,1
180,170,3,180,460,0,290,3,False,True,True,True,10,480,480,480,1
