@RELATION snake_game

@ATTRIBUTE snake_pos_x numeric
@ATTRIBUTE snake_pos_y numeric
@ATTRIBUTE snake_body_length numeric
@ATTRIBUTE food_pos_x numeric
@ATTRIBUTE food_pos_y numeric
@ATTRIBUTE horizontal_distance numeric
@ATTRIBUTE vertical_distance numeric
@ATTRIBUTE score numeric
@ATTRIBUTE left_safe numeric
@ATTRIBUTE right_safe numeric
@ATTRIBUTE up_safe numeric
@ATTRIBUTE down_safe numeric
@ATTRIBUTE left_distance numeric
@ATTRIBUTE right_distance numeric
@ATTRIBUTE up_distance numeric
@ATTRIBUTE down_distance numeric
@ATTRIBUTE food_in_row numeric
@ATTRIBUTE food_in_col numeric
@ATTRIBUTE food_in_up numeric
@ATTRIBUTE food_in_down numeric
@ATTRIBUTE food_in_left numeric
@ATTRIBUTE food_in_right numeric
@attribute New_direction {'0','1','2','3'}

@DATA
400,250,4,90,270,-310,20,51,1,1,0,1,480,480,10,480,0,1,0,1,1,0,3
400,260,4,90,270,-310,10,50,1,1,0,1,480,480,10,480,0,1,0,1,1,0,3
400,270,4,90,270,-310,0,49,1,0,0,1,480,480,10,480,1,0,0,0,1,0,0
390,270,4,90,270,-300,0,48,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
380,270,4,90,270,-290,0,47,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
370,270,4,90,270,-280,0,46,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
360,270,4,90,270,-270,0,45,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
350,270,4,90,270,-260,0,44,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
340,270,4,90,270,-250,0,43,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
330,270,4,90,270,-240,0,42,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
320,270,4,90,270,-230,0,41,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
310,270,4,90,270,-220,0,40,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
300,270,4,90,270,-210,0,39,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
290,270,4,90,270,-200,0,38,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
280,270,4,90,270,-190,0,37,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
270,270,4,90,270,-180,0,36,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
260,270,4,90,270,-170,0,35,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
250,270,4,90,270,-160,0,34,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
240,270,4,90,270,-150,0,33,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
230,270,4,90,270,-140,0,32,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
220,270,4,90,270,-130,0,31,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
210,270,4,90,270,-120,0,30,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
200,270,4,90,270,-110,0,29,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
190,270,4,90,270,-100,0,28,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
180,270,4,90,270,-90,0,27,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
170,270,4,90,270,-80,0,26,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
160,270,4,90,270,-70,0,25,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
150,270,4,90,270,-60,0,24,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
140,270,4,90,270,-50,0,23,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
130,270,4,90,270,-40,0,22,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
120,270,4,90,270,-30,0,21,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
110,270,4,90,270,-20,0,20,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
100,270,4,90,270,-10,0,19,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
90,270,5,230,40,140,-230,119,1,0,1,1,480,10,480,480,1,0,1,0,0,1,0
80,270,5,230,40,150,-230,118,1,0,1,1,480,10,480,480,1,0,1,0,0,1,0
70,270,5,230,40,160,-230,117,1,0,1,1,480,10,480,480,1,0,1,0,0,1,0
60,270,5,230,40,170,-230,116,1,0,1,0,480,10,480,480,1,0,1,0,0,1,2
60,260,5,230,40,170,-220,115,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
60,250,5,230,40,170,-210,114,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
60,240,5,230,40,170,-200,113,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
60,230,5,230,40,170,-190,112,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
60,220,5,230,40,170,-180,111,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
60,210,5,230,40,170,-170,110,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
60,200,5,230,40,170,-160,109,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
60,190,5,230,40,170,-150,108,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
60,180,5,230,40,170,-140,107,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
60,170,5,230,40,170,-130,106,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
60,160,5,230,40,170,-120,105,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
60,150,5,230,40,170,-110,104,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
60,140,5,230,40,170,-100,103,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
60,130,5,230,40,170,-90,102,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
60,120,5,230,40,170,-80,101,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
60,110,5,230,40,170,-70,100,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
60,100,5,230,40,170,-60,99,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
60,90,5,230,40,170,-50,98,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
60,80,5,230,40,170,-40,97,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
60,70,5,230,40,170,-30,96,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
60,60,5,230,40,170,-20,95,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
60,50,5,230,40,170,-10,94,0,1,1,0,480,480,480,10,1,0,1,0,0,1,1
70,50,5,230,40,160,-10,93,0,1,1,1,10,480,480,480,1,0,1,0,0,1,1
80,50,5,230,40,150,-10,92,0,1,1,1,10,480,480,480,1,0,1,0,0,1,1
90,50,5,230,40,140,-10,91,0,1,1,1,10,480,480,480,1,0,1,0,0,1,1
100,50,5,230,40,130,-10,90,0,1,1,0,10,480,480,480,1,0,1,0,0,1,2
100,40,5,230,40,130,0,89,1,1,1,0,480,480,480,10,1,0,0,0,0,1,2
100,30,5,230,40,130,10,88,0,1,1,0,480,480,480,10,1,1,0,1,0,1,1
110,30,5,230,40,120,10,87,0,1,1,1,10,480,480,480,1,1,0,1,0,1,1
120,30,5,230,40,110,10,86,0,1,1,1,10,480,480,480,1,1,0,1,0,1,1
130,30,5,230,40,100,10,85,0,1,1,1,10,480,480,480,1,1,0,1,0,1,1
140,30,5,230,40,90,10,84,0,1,0,1,10,480,480,480,1,1,0,1,0,1,3
140,40,5,230,40,90,0,83,1,1,0,1,480,480,10,480,1,0,0,0,0,1,3
140,50,5,230,40,90,-10,82,0,1,0,1,480,480,10,480,1,0,1,0,0,1,1
150,50,5,230,40,80,-10,81,0,1,1,1,10,480,480,480,1,0,1,0,0,1,1
160,50,5,230,40,70,-10,80,0,1,1,1,10,480,480,480,1,0,1,0,0,1,1
170,50,5,230,40,60,-10,79,0,1,1,1,10,480,480,480,1,0,1,0,0,1,1
180,50,5,230,40,50,-10,78,0,1,1,0,10,480,480,480,1,0,1,0,0,1,2
180,40,5,230,40,50,0,77,0,1,1,0,480,480,480,10,1,0,0,0,0,1,1
190,40,5,230,40,40,0,76,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
200,40,5,230,40,30,0,75,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
210,40,5,230,40,20,0,74,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
220,40,5,230,40,10,0,73,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
230,40,6,220,130,-10,90,173,0,1,1,1,10,480,480,480,0,1,0,1,1,0,1
240,40,6,220,130,-20,90,172,0,1,1,1,10,480,480,480,0,1,0,1,1,0,1
250,40,6,220,130,-30,90,171,0,1,1,1,10,480,480,480,0,1,0,1,1,0,1
260,40,6,220,130,-40,90,170,0,1,0,1,10,480,480,480,0,1,0,1,1,0,3
260,50,6,220,130,-40,80,169,1,1,0,1,480,480,10,480,0,1,0,1,1,0,3
260,60,6,220,130,-40,70,168,1,0,0,1,480,480,10,480,0,1,0,1,1,0,0
250,60,6,220,130,-30,70,167,1,0,1,1,480,10,20,480,0,1,0,1,1,0,0
240,60,6,220,130,-20,70,166,1,0,1,1,480,10,480,480,0,1,0,1,1,0,0
230,60,6,220,130,-10,70,165,1,0,0,1,480,10,480,480,0,1,0,1,1,0,3
230,70,6,220,130,-10,60,164,1,1,0,1,480,480,10,480,0,1,0,1,1,0,3
230,80,6,220,130,-10,50,163,1,1,0,1,480,480,10,480,0,1,0,1,1,0,3
230,90,6,220,130,-10,40,162,1,1,0,1,480,480,10,480,0,1,0,1,1,0,3
230,100,6,220,130,-10,30,161,1,0,0,1,480,480,10,480,0,1,0,1,1,0,0
220,100,6,220,130,0,30,160,1,0,1,1,480,10,480,480,0,1,0,1,0,0,0
210,100,6,220,130,10,30,159,1,0,0,1,480,10,480,480,1,1,0,1,0,1,3
210,110,6,220,130,10,20,158,1,1,0,1,480,480,10,480,1,1,0,1,0,1,3
210,120,6,220,130,10,10,157,1,1,0,1,480,480,10,480,1,1,0,1,0,1,3
210,130,6,220,130,10,0,156,1,1,0,1,480,480,10,480,1,0,0,0,0,1,3
210,140,6,220,130,10,-10,155,1,1,0,1,480,480,10,480,1,0,1,0,0,1,3
210,150,6,220,130,10,-20,154,0,1,0,1,480,480,10,480,1,0,1,0,0,1,1
220,150,6,220,130,0,-20,153,0,1,1,1,10,480,480,480,0,1,1,0,0,0,1
230,150,6,220,130,-10,-20,152,0,1,1,1,10,480,480,480,0,0,1,0,1,0,1
240,150,6,220,130,-20,-20,151,0,1,1,1,10,480,480,480,0,0,1,0,1,0,1
250,150,6,220,130,-30,-20,150,0,1,1,0,10,480,480,480,0,0,1,0,1,0,2
250,140,6,220,130,-30,-10,149,1,1,1,0,480,480,480,10,0,0,1,0,1,0,2
250,130,6,220,130,-30,0,148,1,0,1,0,480,480,480,10,1,0,0,0,1,0,0
240,130,6,220,130,-20,0,147,1,0,1,1,480,10,480,20,1,0,0,0,1,0,0
230,130,6,220,130,-10,0,146,1,0,1,1,480,10,480,480,1,0,0,0,1,0,0
220,130,7,110,320,-110,190,246,1,0,1,1,480,10,480,480,0,1,0,1,1,0,0
210,130,7,110,320,-100,190,245,1,0,1,1,480,10,480,480,0,1,0,1,1,0,0
200,130,7,110,320,-90,190,244,1,0,0,1,480,10,480,480,0,1,0,1,1,0,3
200,140,7,110,320,-90,180,243,1,1,0,1,480,480,10,480,0,1,0,1,1,0,3
200,150,7,110,320,-90,170,242,1,1,0,1,480,480,10,480,0,1,0,1,1,0,3
200,160,7,110,320,-90,160,241,1,0,0,1,480,480,10,480,0,1,0,1,1,0,0
